Datum,Flow_IC_opnames,IC_opnames_cum,Aanwezig_IC,Cum_IC_died,Cum_IC_hersteld,Flow_IC_died,Flow_IC_hersteld,Flow_IC_from_data,Stock_IC_from_flows,Cum_IC_to_general_hospital,Flow_IC_to_general_hospital
28/02/2020,1.0,1.0,3.0,0.0,0.0,0.0,0.0,,,,
29/02/2020,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,
01/03/2020,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
02/03/2020,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
03/03/2020,1.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
04/03/2020,3.0,7.0,9.0,0.0,1.0,0.0,1.0,3.0,9.0,0.0,0.0
05/03/2020,1.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0
06/03/2020,2.0,10.0,11.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0
07/03/2020,3.0,13.0,13.0,0.0,1.0,0.0,0.0,3.0,14.0,1.0,1.0
08/03/2020,5.0,18.0,17.0,2.0,1.0,2.0,0.0,5.0,19.0,2.0,1.0
09/03/2020,5.0,23.0,21.0,2.0,1.0,0.0,0.0,3.0,22.0,1.0,-1.0
10/03/2020,8.0,31.0,29.0,2.0,1.0,0.0,0.0,8.0,30.0,1.0,0.0
11/03/2020,6.0,37.0,38.0,2.0,1.0,0.0,0.0,6.0,36.0,-2.0,-3.0
12/03/2020,22.0,59.0,59.0,3.0,1.0,1.0,0.0,22.0,58.0,-1.0,1.0
13/03/2020,14.0,73.0,69.0,4.0,1.0,1.0,0.0,13.0,71.0,2.0,3.0
14/03/2020,17.0,90.0,86.0,4.0,2.0,0.0,1.0,16.0,87.0,1.0,-1.0
15/03/2020,27.0,117.0,111.0,6.0,3.0,2.0,1.0,26.0,113.0,2.0,1.0
16/03/2020,33.0,150.0,140.0,10.0,5.0,4.0,2.0,30.0,143.0,3.0,1.0
17/03/2020,35.0,185.0,169.0,11.0,6.0,1.0,1.0,29.0,172.0,3.0,0.0
18/03/2020,51.0,236.0,221.0,14.0,7.0,3.0,1.0,49.0,221.0,0.0,-3.0
19/03/2020,58.0,294.0,272.0,21.0,8.0,7.0,1.0,54.0,275.0,3.0,3.0
20/03/2020,86.0,380.0,351.0,25.0,11.0,4.0,3.0,78.0,353.0,2.0,-1.0
21/03/2020,69.0,449.0,415.0,35.0,11.0,10.0,0.0,62.0,415.0,0.0,-2.0
22/03/2020,70.0,519.0,463.0,41.0,12.0,6.0,1.0,60.0,475.0,12.0,12.0
23/03/2020,102.0,621.0,556.0,55.0,14.0,14.0,2.0,95.0,570.0,14.0,2.0
24/03/2020,107.0,728.0,638.0,63.0,16.0,8.0,2.0,91.0,661.0,23.0,9.0
25/03/2020,115.0,843.0,733.0,73.0,19.0,10.0,3.0,105.0,766.0,33.0,10.0
26/03/2020,99.0,942.0,817.0,88.0,22.0,15.0,3.0,86.0,852.0,35.0,2.0
27/03/2020,114.0,1056.0,902.0,101.0,22.0,13.0,0.0,96.0,948.0,46.0,11.0
28/03/2020,97.0,1153.0,961.0,117.0,24.0,16.0,2.0,84.0,1032.0,71.0,25.0
29/03/2020,83.0,1236.0,1008.0,139.0,24.0,22.0,0.0,65.0,1097.0,89.0,18.0
30/03/2020,63.0,1299.0,1019.0,148.0,24.0,9.0,0.0,41.0,1138.0,119.0,30.0
31/03/2020,,,,,,,,,,,
