Datum,Flow_IC_opnames,IC_opnames_cum,Aanwezig_IC,Cum_IC_died,Cum_IC_hersteld,Flow_IC_died,Flow_IC_hersteld
28/02/2020,1,1,3,0,0,0,0
29/02/2020,1,2,4,0,0,0,0
01/03/2020,1,3,5,0,0,0,0
02/03/2020,0,3,5,0,0,0,0
03/03/2020,1,4,6,0,0,0,0
04/03/2020,3,7,9,0,1,0,1
05/03/2020,1,8,9,0,1,0,0
06/03/2020,2,10,11,0,1,0,0
07/03/2020,3,13,13,0,1,0,0
08/03/2020,5,18,17,2,1,2,0
09/03/2020,5,23,21,2,1,0,0
10/03/2020,8,31,29,2,1,0,0
11/03/2020,6,37,38,2,1,0,0
12/03/2020,22,59,59,3,1,1,0
13/03/2020,14,73,69,4,1,1,0
14/03/2020,17,90,86,4,2,0,1
15/03/2020,27,117,111,6,3,2,1
16/03/2020,33,150,140,10,5,4,2
17/03/2020,35,185,169,11,6,1,1
18/03/2020,51,236,221,14,7,3,1
19/03/2020,58,294,272,21,8,7,1
20/03/2020,86,380,351,25,11,4,3
21/03/2020,69,449,415,35,11,10,0
22/03/2020,70,519,463,41,12,6,1
23/03/2020,102,621,556,55,14,14,2
24/03/2020,107,728,638,63,16,8,2
25/03/2020,115,843,733,73,19,10,3
26/03/2020,99,942,817,88,22,15,3
27/03/2020,114,1056,902,101,22,13,0
28/03/2020,97,1153,961,117,24,16,2
29/03/2020,83,1236,1008,139,24,22,0
30/03/2020,63,1299,1019,148,24,9,0
31/03/2020,,,,,,,
